index,Name,Location,Province,Make,link,Address,Phone,Rating,NumberofRating
0,1. SOUTHVIEW ACURA,"Edmonton, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Southview-Acura-review-34381/,"9820 34 Ave NW, Edmonton, Alberta T6E 6L1",SALES: (780) 989-8888 SERVICE: (780) 989-8888 PARTS: (780) 989-8888,4.6,219 Lifetime Reviews
0,2. SILVERHILL ACURA,"Calgary, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Silverhill-Acura-review-34333/,"5728 MacLeod Trail SW , Calgary, Alberta T2H 0J6",SALES: (403) 253-6060,4.9,241 Lifetime Reviews
0,3. NORTHWEST ACURA,"Calgary, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Northwest-Acura-review-38638/,"125 Crowfoot Way Northwest, Calgary, Alberta T3G 2R2",SALES: (403) 239-6677,4.5,76 Lifetime Reviews
0,4. WEST SIDE ACURA,"Edmonton, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/West-Side-Acura-review-15979/,"17456 102 Ave NW, Edmonton, Alberta T5S 1K2",SALES: (780) 484-5444,4.4,25 Lifetime Reviews
0,5. GO AUTO OUTLET WEST,"Edmonton, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Go-Auto-Outlet-West-review-34027/,"17860 102 Avenue Northwest, Edmonton, Alberta T5S 1M9",SALES: (877) 611-8724,3,2 Lifetime Reviews
0,6. ACURA RED DEER,"Red Deer, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Acura-Red-Deer-review-114628/,"1808-49th Ave, Red Deer, Alberta T4R 2N7",SALES: (403) 343-0400,N/A,0 Lifetime Reviews
0,7. TUFF-LINE SERVICE LTD.,"La Crete, AB",Alberta,Acura,https://www.dealerrater.ca/dealer/Tuff-Line-Service-Ltd-review-34682/,"PO Box 239, La Crete, Alberta T0H 2H0",SALES: (780) 928-3932,N/A,0 Lifetime Reviews
0,1. ACURA OF LANGLEY,"Surrey, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Acura-of-Langley-review-31521/,"20257 Langley Bypass, Surrey, British Columbia V3A 6K9",SALES: (604) 539-2111,4.9,16 Lifetime Reviews
0,2. LOUGHEED ACURA,"Coquitlam, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Lougheed-Acura-review-33369/,"1388 Lougheed Hwy, Coquitlam, British Columbia V3K 6S4",SALES: (604) 522-6118,4.8,43 Lifetime Reviews
0,3. BURRARD ACURA,"Vancouver, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Burrard-Acura-review-31978/,"730 Terminal Avenue, Vancouver, British Columbia V6A 2M5",SALES: (604) 736-8890,3.6,42 Lifetime Reviews
0,4. RICHMOND ACURA,"Richmond , BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Richmond-Acura-review-34137/,"4211 No. 3 Rd , Richmond , British Columbia V6X 2C3",SALES: (604) 278-8999,2.3,3 Lifetime Reviews
0,5. NORTH SHORE ACURA,"North Vancouver, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/North-Shore-Acura-review-33767/,"828 Automall Drive, North Vancouver, British Columbia V7P3R8",SALES: (604) 929-6736,1,6 Lifetime Reviews
0,6. CAMPUS ACURA,"Victoria, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Campus-Acura-review-32019/,"3347 Oak St , Victoria, British Columbia V8X 1R2",SALES: (250) 383-0088,N/A,0 Lifetime Reviews
0,7. HARMONY ACURA,"Kelowna, BC",British-Columbia,Acura,https://www.dealerrater.ca/dealer/Harmony-Acura-review-33910/,"2552 Enterprise Way, Kelowna, British Columbia V1X 7X5",SALES: (250) 861-3003,N/A,1 Lifetime Review
0,1. CROWN ACURA,"Winnipeg, MB",Manitoba,Acura,https://www.dealerrater.ca/dealer/Crown-Acura-review-32273/,"1700-B Waverley St, Winnipeg, Manitoba R3T 5V7",SALES: (204) 269-9551,2.6,52 Lifetime Reviews
0,1. PRECISION ACURA MONCTON,"Moncton, NB",New-Brunswick,Acura,https://www.dealerrater.ca/dealer/Precision-Acura-Moncton-review-34046/,"160 Baig Blvd, Moncton, New Brunswick E1E 1C8",SALES: (506) 853-1116,2.4,2 Lifetime Reviews
0,1. TUCKER ACURA,"Mount Pearl, NL",Newfoundland-and-Labrador,Acura,https://www.dealerrater.ca/dealer/Tucker-Acura-review-34681/,"969 Topsail Road, Mount Pearl, Newfoundland and Labrador A1N 3K1",SALES: (877) 833-9461,N/A,0 Lifetime Reviews
0,1. ATLANTIC ACURA,"Halifax, NS",Nova-Scotia,Acura,https://www.dealerrater.ca/dealer/Atlantic-Acura-review-31611/,"30 Bedford Hwy, Halifax, Nova Scotia B3M 2J2",SALES: (902) 457-1555,N/A,2 Lifetime Reviews
0,1. ACURA SHERWAY,"Toronto, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-Sherway-review-31527/,"2000 The Queensway, Toronto, Ontario M9C 5H5",SALES: (416) 620-1987 SERVICE: (416) 620-1987 PARTS: (416) 620-1987,4.4,145 Lifetime Reviews
0,2. ACURA OF NORTH TORONTO,"Thornhill, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-of-North-Toronto-review-31522/,"7064 Yonge St, Thornhill, Ontario L4J 1V7",SALES: (905) 882-9660,4.7,101 Lifetime Reviews
0,3. PERFORMANCE ACURA,"St. Catharines, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Performance-Acura-review-33958/,"158 Scott Street, St. Catharines, Ontario L2N 1H1",SALES: (905) 937-1811,5,7 Lifetime Reviews
0,4. STERNE ACURA,"Aurora, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Sterne-Acura-review-34465/,"625 St. John's Sideroad E, Aurora, Ontario L4G 0Z7",SALES: (888) 285-6910,5,7 Lifetime Reviews
0,5. ACURA OF OAKVILLE,"Oakville, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-of-Oakville-review-31523/,"1525 North Service Rd W, Oakville, Ontario L6M 2W2",SALES: (905) 825-8777,4.8,49 Lifetime Reviews
0,6. MARKHAM ACURA,"Markham, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Markham-Acura-review-31518/,"5201 Highway 7 East, Markham, Ontario L3R 1N3",SALES: (905) 948-8222,4.7,171 Lifetime Reviews
0,7. SCHLUETER ACURA,"Kitchener, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Schlueter-Acura-review-32549/,"2385 Shirley Dr, Kitchener, Ontario N2B 3X4",SALES: (888) 457-2264,4.5,26 Lifetime Reviews
0,8. ERIN MILLS ACURA,"Mississauga, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Erin-Mills-Acura-review-32521/,"3025 Woodchester Dr , Mississauga, Ontario L5L 3V3",SALES: (888) 479-9251,4.4,68 Lifetime Reviews
0,9. ACURA OF BARRIE,"Barrie, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-of-Barrie-review-31519/,"125 Mapleview Dr , Barrie, Ontario L4N 9H7",SALES: (705) 812-6767,4.1,21 Lifetime Reviews
0,10. ACURA OF HAMILTON,"Hamilton, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-of-Hamilton-review-31520/,"1515 Upper James St, Hamilton, Ontario L9B 1K2",SALES: (888) 570-4550,4,14 Lifetime Reviews
0,11. ACURA ON BRANT,"Burlington, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Acura-on-Brant-review-31524/,"629 Brant St, Burlington, Ontario L7R 2H1",SALES: (905) 333-4144,3.7,19 Lifetime Reviews
0,12. CAMCO ACURA,"Ottawa, ON",Ontario,Acura,https://www.dealerrater.ca/dealer/Camco-Acura-review-32007/,"1475 Carling Ave , Ottawa, Ontario K1Z 7L9",SALES: (613) 728-8888,3.1,9 Lifetime Reviews
