Reg Num,Name,Address,Status,Phone,Broker
4054,2610805 ONTARIO LIMITED O/A SELECTIVE INSURANCE GROUP,"PO BOX 265, PORT UNION ROAD, SCARBOROUGH, ONTARIO, CANADA, M1C 2L0",Corporation,+1(647)933-9009,"MICHEL, JENNIFER LYNN"
3454,A & A INSURANCE BROKERS LTD.,"3220, DOUGALL AVENUE, UNIT B, WINDSOR, ONTARIO, CANADA, N9E 1S6",Corporation,+1(519)250-4111,"GIBB, CHRISTOPHER JOSEPH"
740,A.F. `SANDY' FORBES INSURANCE BROKER DIV. OF 251321 ONT. LTD,"730, KING STREET EAST, CAMBRIDGE, ONTARIO, CANADA, N3H 3N9",Corporation,+1(519)653-5650,"FORBES, KATHRYN JOAN"
4123,A.P. REID INSURANCE LIMITED,"3390, SOUTH SERVICE RD, SUITE #201, BURLINGTON, ONTARIO, CANADA, L7N 3J5",Corporation,+()905-689-6608,"REID, JAMES PATRICK"
3345,AAIMSAFE INC.,"3105, WINSTON CHURCHILL BLVD, UNIT #12, MISSISSAUGA, ONTARIO, CANADA, L5L 5S3",Corporation,+1(905)593-3195,"MCCABE, JOSEPH VINCENT"
4,AAXEL INS. MARKHAM,"3075, 14TH AVENUE, UNIT # 11, MARKHAM, ONTARIO, CANADA, L3R 0G9",Corporation,,"MANN, PRITPAL SINGH ""PAUL"""
3604,"ABORIGINAL INSURANCE SERVICES, INC.","50, GENERATIONS DRIVE, P.O. BOX 4, SUITE 206, OSHWEKEN, ONTARIO, CANADA, N0A 1M",Corporation,+1(855)282-6991,"SHERWIN, RANDY"
3344,ADVANCED INSURANCE BROKERS INC,"2-825, PARK W AVE, CHATHAM, ONTARIO, CANADA, N7M 0N1",Corporation,+1(519)397-9333,"DESBIENS, JEAN DANIEL"
3545,ADVANTAGE 45 INSURANCE BROKERS O/B 1809692 ONTARIO INC.,"244, DUNLOP W ST, BARRIE, ONTARIO, CANADA, L4N 1B6",Corporation,+1(705)737-5620,"NEWMAN, CALVIN GARY"
4053,AIA INSURANCE BROKERS LTD.,"5875 HIGHWAY 7, UNIT 200B, VAUGHAN, ONTARIO, CANADA, L4L 1T9",Corporation,+1(416)504-0990,"CARROLL, RANDY DAVID"
4054,2610805 ONTARIO LIMITED O/A SELECTIVE INSURANCE GROUP,"PO BOX 265, PORT UNION ROAD, SCARBOROUGH, ONTARIO, CANADA, M1C 2L0",Corporation,+1(647)933-9009,"MICHEL, JENNIFER LYNN"
3454,A & A INSURANCE BROKERS LTD.,"3220, DOUGALL AVENUE, UNIT B, WINDSOR, ONTARIO, CANADA, N9E 1S6",Corporation,+1(519)250-4111,"GIBB, CHRISTOPHER JOSEPH"
740,A.F. `SANDY' FORBES INSURANCE BROKER DIV. OF 251321 ONT. LTD,"730, KING STREET EAST, CAMBRIDGE, ONTARIO, CANADA, N3H 3N9",Corporation,+1(519)653-5650,"FORBES, KATHRYN JOAN"
4123,A.P. REID INSURANCE LIMITED,"3390, SOUTH SERVICE RD, SUITE #201, BURLINGTON, ONTARIO, CANADA, L7N 3J5",Corporation,+()905-689-6608,"REID, JAMES PATRICK"
3345,AAIMSAFE INC.,"3105, WINSTON CHURCHILL BLVD, UNIT #12, MISSISSAUGA, ONTARIO, CANADA, L5L 5S3",Corporation,+1(905)593-3195,"MCCABE, JOSEPH VINCENT"
4,AAXEL INS. MARKHAM,"3075, 14TH AVENUE, UNIT # 11, MARKHAM, ONTARIO, CANADA, L3R 0G9",Corporation,,"MANN, PRITPAL SINGH ""PAUL"""
3604,"ABORIGINAL INSURANCE SERVICES, INC.","50, GENERATIONS DRIVE, P.O. BOX 4, SUITE 206, OSHWEKEN, ONTARIO, CANADA, N0A 1M",Corporation,+1(855)282-6991,"SHERWIN, RANDY"
3344,ADVANCED INSURANCE BROKERS INC,"2-825, PARK W AVE, CHATHAM, ONTARIO, CANADA, N7M 0N1",Corporation,+1(519)397-9333,"DESBIENS, JEAN DANIEL"
3545,ADVANTAGE 45 INSURANCE BROKERS O/B 1809692 ONTARIO INC.,"244, DUNLOP W ST, BARRIE, ONTARIO, CANADA, L4N 1B6",Corporation,+1(705)737-5620,"NEWMAN, CALVIN GARY"
4053,AIA INSURANCE BROKERS LTD.,"5875 HIGHWAY 7, UNIT 200B, VAUGHAN, ONTARIO, CANADA, L4L 1T9",Corporation,+1(416)504-0990,"CARROLL, RANDY DAVID"
4053,AIA INSURANCE- LONDON,"1398, WELLINGTON RD, #30, LONDON, ONTARIO, CANADA, N6E 1M5",Corporation,,
3043,AIR1 INSURANCE SERVICES LTD.,"SUITE 201, AIRPORT WAY, BOX 163, PITT MEADOWS, BRITISH COLUMBIA, CANADA, V3Y 2B4",Corporation,+1(604)460-8787,"FITZPATRICK, DAVID P."
3843,AKAL INSURANCE BROKERS (PEEL) INC.,"7990 KENNEDY ROAD SOUTH, STE 204, BRAMPTON, ONTARIO, CANADA, L6W 0B3",Corporation,+1(905)454-0222,"DHALIWAL, HARBIR BOBBY"
614,AL DORMAN INSURANCE BROKERS LTD,"19150, CENTRE STREET, UNIT 1, MOUNT ALBERT, ONTARIO, CANADA, L0G 1M0",Corporation,+1(905)473-2942,"ARMSTRONG, CURTIS ALAN"
3346,ALL LINE INSURANCE BROKERS INC,"1878, HURON CHURCH ROAD, WINDSOR, ONTARIO, CANADA, N9C 2L5",Corporation,+1(519)250-0269,"CHAFCHAK, WALLY (WALID)"
14,ALL-RISKS- MISSISSAUGA,"6465, MILLCREEK DRIVE, SUITE 201, MISSISSAUGA, ONTARIO, CANADA, L5N 5R3",Corporation,905-812-7223,"LEMMON, PAUL"
24,ALL-RISKS- SAULT ST. MARIE,"123, GREAT NORTHERN ROAD, UNIT B, SAULT STE MARIE, ONTARIO, CANADA, P6B 4Y9",Corporation,705-575-4400,"LEMMON, PAUL"
3428,AMBROZIAK & RAO INSURANCE BROKERS INC.,"250, DUNDAS ST WEST, SUITE #408, MISSISSAUGA, ONTARIO, CANADA, L5B 1J2",Corporation,+1(905)366-0066,"RAO, HARISH"
3664,AMG INSURANCE BROKERS LIMITED,"#604- 555 BURNHAMTHORPE ROAD, ETOBICOKE, ONTARIO, CANADA, M9C 2V3",Corporation,+1(416)621-1819,"MCCABE, JOSEPH VINCENT"
3441,AMPEX GENERAL INSURANCE BROKERS LTD.,"712, & 714 GORDON BAKER ROAD, TORONTO, ONTARIO, CANADA, M2H 3B4",Corporation,+1(416)886-3311,"LEUNG, RAYMOND WAI LAM"
3446,ANTHONY TSANG INSURANCE BROKERS INC.,"95, MURAL STREET, SUITE 600, UNIT #4, RICHMOND HILL, ONTARIO, CANADA, L4B 3G2",Corporation,+1(416)410-6868,"MCCABE, JOSEPH VINCENT"
4,AON CANADA-LONDON,"380, WELLINGTON STREET, LONDON, ONTARIO, CANADA, N6A 5B5",Corporation,519-433-3441,"AUDET, MAURICE GEORGE"
24,AON REED STENHOUSE ST. JOHN'S,"125, KELSEY DRIVE, ST JOHN'S, NEWFOUNDLAND AND LABRADOR, CANADA, A1B",Corporation,709-739-1000,"AUDET, MAURICE GEORGE"
14,AON REED STENHOUSE- WHITEHORSE,"201- , 9016 QUARTZ ROAD, WHITEHORSE, YUKON, CANADA, Y1A 2Z5",Corporation,867-668-4343,"AUDET, MAURICE GEORGE"
4,AON REED STENHOUSE-MONTREAL,"1800- , 700 de la GAUCHETIERE, STREET W., MONTREAL, QUEBEC, CANADA, H3B 0A7",Corporation,514-842-5000,"AUDET, MAURICE GEORGE"
4,AP INSURANCE - KITCHENER,"135, BIEHN DRIVE, KITCHENER, ONTARIO, CANADA, N2R 1M6",Corporation,519-748-0984,"BELL, SCOTT DOUGLAS"
3452,AP INSURANCE BROKERS INC.,"1423, UPPER OTTAWA ST, UNIT # 11, HAMILTON, ONTARIO, CANADA, L8W 3J6",Corporation,+1(905)389-2822,"BELL, SCOTT DOUGLAS"
4,AP REID INS-DARTMOUTH,"2030, – 100 MAIN STREET, DARTMOUTH, NOVA SCOTIA, CANADA, B2X 1R5",Corporation,,"REID, JAMES PATRICK"
945,ART HELPARD INSURANCE BROKERS,"195, MENTEN PLACE, SUITE #102, NEPEAN, ONTARIO, CANADA, K2H 9C1",Sole Proprietor,+1(613)828-4840,"HELPARD, ARTHUR J."
14,ARTHUR GALLAGHER-CAVALIER,"8 , 8 -3421 PORTAGE AVENUE, WINNIPEG, MANITOBA, CANADA, R3K 2C9",Corporation,204-925-8640,"MEDEIROS, TRACEY LYNN"
